datetime,open,high,low,close,volume
2024-08-04,19.92,20.02,17.95,18.0,18545146.0
2024-08-11,17.56,17.89,16.6,17.45,51582157.0
2024-08-18,17.4,19.0,17.06,18.67,53706451.0
2024-08-25,18.62,19.3199,18.47,19.22,31732618.0
2024-09-01,19.19,19.57,18.38,19.35,40095144.0
2024-09-08,19.5,19.5,16.855,17.351,74626768.0
2024-09-15,17.63,17.85,15.77,17.1,195751383.0
2024-09-22,17.15,18.94,16.8,18.81,79619586.0
2024-09-29,18.78,20.49,18.625,20.1,63297019.0
2024-10-06,20.01,20.83,19.71,20.55,52071509.0
2024-10-13,20.55,21.1,20.311,20.62,47143998.0
2024-10-20,20.65,21.15,20.39,20.65,48628276.0
2024-10-27,20.57,20.6899,19.21,19.41,43912934.0
2024-11-03,19.64,21.05,19.48,20.1,47257613.0
2024-11-10,20.08,22.2,19.86,22.04,51211426.0
2024-11-17,22.25,22.5,20.98,21.09,40465912.0
2024-11-24,21.37,22.22,20.86,22.19,44508701.0
2024-12-01,22.2,22.68,20.635,21.18,46061129.0
2024-12-08,21.37,24.24,20.96,24.09,84203053.0
2024-12-15,24.1,24.3,21.205,21.93,66917694.0
2024-12-22,21.93,22.04,20.1,21.66,70255471.0
2024-12-29,21.99,22.05,21.39,21.65,21621733.0
2025-01-05,21.65,21.85,21.125,21.819,28337773.0
2025-01-12,21.99,23.06,21.485,22.2209,63891462.0
2025-01-19,22.0,23.76,21.1649,23.1799,67584344.0
2025-01-26,23.29,24.66,23.11,24.3793,37480686.0
2025-02-02,23.8,24.5,20.34,21.0,92936498.0
2025-02-09,20.51,21.7,20.1,21.0892,51306459.0
2025-02-16,21.39,21.78,20.86,21.75,38746754.0
2025-02-23,21.77,22.2,21.06,21.2,29289635.0
2025-03-02,21.3,21.3,19.24,19.85,45050274.0
2025-03-09,19.89,20.19,14.09,15.96,136994166.0
2025-03-16,15.96,16.0,14.64,15.6,124519687.0
2025-03-23,15.64,16.56,15.57,16.12,79422174.0
2025-03-30,16.22,16.59,15.52,15.7898,80462020.0
