datetime,open,high,low,close,volume
2024-08-04,191.56,193.635,185.7,188.85,6898057.0
2024-08-11,183.21,192.88,181.79,191.699,14541738.0
2024-08-18,191.5,194.5,189.0001,193.7,7959560.0
2024-08-25,194.02,197.92,193.715,196.1,8660268.0
2024-09-01,195.66,202.17,194.47,202.15,11154773.0
2024-09-08,202.68,205.95,199.335,200.0,10606100.0
2024-09-15,201.2,216.09,200.64,214.79,17765635.0
2024-09-22,214.34,218.84,210.37,217.7,20016475.0
2024-09-29,217.18,224.15,217.14,220.25,12489199.0
2024-10-06,220.84,226.08,215.798,225.99,13648211.0
2024-10-13,225.0,235.83,225.0,232.7,14376035.0
2024-10-20,233.5,237.37,230.17,232.4,13434172.0
2024-10-27,231.5,234.0,214.0,214.55,25951398.0
2024-11-03,215.72,216.25,203.51,208.1,20625025.0
2024-11-10,208.01,216.7,205.57,213.6,11375270.0
2024-11-17,213.75,215.41,204.07,205.49,13795122.0
2024-11-24,204.9,227.2,204.5521,223.1,17383239.0
2024-12-01,223.29,230.36,222.19,227.41,14300755.0
2024-12-08,227.5,238.38,225.51,237.5,13911557.0
2024-12-15,238.59,239.35,227.5,230.82,15374988.0
2024-12-22,231.71,231.71,218.56,224.95,14719815.0
2024-12-29,224.5,225.4,221.08,222.6,6813858.0
2025-01-05,223.01,223.66,217.6,222.9666,6958645.0
2025-01-12,223.01,226.711,216.8,219.036,8501997.0
2025-01-19,217.96,227.24,214.61,224.9899,13548625.0
2025-01-26,224.75,227.45,220.35,224.79,10918929.0
2025-02-02,221.73,261.8,217.01,255.2,31143570.0
2025-02-09,251.19,265.72,250.0,252.1,24030223.0
2025-02-16,251.71,261.94,246.87,261.0,14654283.0
2025-02-23,260.2,265.25,259.83,261.22,13854384.0
2025-03-02,263.44,263.845,246.54,252.5,18339468.0
2025-03-09,252.7,262.3872,245.1823,261.25,17829818.0
2025-03-16,257.9,266.45,241.68,248.0,21758758.0
2025-03-23,247.59,254.63,237.224,243.87,21532307.0
2025-03-30,245.84,254.32,242.0,242.64,13587921.0
