datetime,open,high,low,close,volume
2024-08-04,509.0,527.1709,476.15,486.0,63151253.0
2024-08-11,456.01,518.34,437.2,517.37,84070672.0
2024-08-18,517.0,539.77,509.1,526.16,55888295.0
2024-08-25,525.33,544.23,522.76,527.8,50352991.0
2024-09-01,528.0,530.5,511.7,521.27,35089254.0
2024-09-08,520.59,525.49,498.25,499.6,38010378.0
2024-09-15,504.0,527.94,495.6,523.89,43679514.0
2024-09-22,524.98,564.5,517.4,561.5,55258042.0
2024-09-29,563.2,580.0,554.19,566.1,52863036.0
2024-10-06,567.03,596.85,564.51,595.85,49830610.0
2024-10-13,594.58,602.95,581.61,589.1,39265805.0
2024-10-20,589.9,600.1,574.03,576.1501,37871940.0
2024-10-27,576.99,585.0,561.52,572.23,40574680.0
2024-11-03,578.6,609.5,554.85,565.6,81769894.0
2024-11-10,566.5,594.7999,555.1679,588.158,55046387.0
2024-11-17,589.0,599.66,551.49,554.41,56251546.0
2024-11-24,557.9,571.6,547.7136,559.69,43657475.0
2024-12-01,561.99,578.46,556.39,574.5,37545141.0
2024-12-08,573.0,629.7899,573.0,623.25,56328551.0
2024-12-15,625.3,638.4,606.1701,621.01,39364374.0
2024-12-22,623.19,632.37,580.0,588.9,68626030.0
2024-12-29,591.42,610.7,585.25,599.61,24883494.0
2025-01-05,599.12,609.5,583.85,604.3,28528815.0
2025-01-12,605.31,637.34,597.34,615.0101,48630426.0
2025-01-19,610.6,625.53,588.55,612.71,56739614.0
2025-01-26,612.2,652.0,609.0082,646.195,43941061.0
2025-02-02,622.58,716.17,606.08,685.18,110875232.0
2025-02-09,675.0,725.01,668.0,713.8999,74312033.0
2025-02-16,719.0,740.91,710.04,737.4785,59914918.0
2025-02-23,737.1,739.32,682.0222,682.995,60591657.0
2025-03-02,686.89,689.17,641.86,669.4,71325380.0
2025-03-09,670.11,681.25,600.61,624.2,72322459.0
2025-03-16,618.76,633.33,585.1,607.78,75403212.0
2025-03-23,603.91,613.1,574.66,597.0488,86416452.0
2025-03-30,606.0,633.88,573.92,575.58,62394696.0
