datetime,open,high,low,close,volume
2024-08-04,66.98,67.45,57.975,59.51,27628412.0
2024-08-11,55.3,62.47,52.0,60.57,47700555.0
2024-08-18,60.86,70.3525,59.9601,69.22,44724957.0
2024-08-25,68.4,72.58,67.57,71.9851,41329566.0
2024-09-01,72.2,79.0,65.6,76.1,65771236.0
2024-09-08,75.76,76.24,65.529,66.0,48519073.0
2024-09-15,67.32,75.91,66.96,74.41,48255615.0
2024-09-22,74.51,76.015,71.1,73.87,36663141.0
2024-09-29,73.89,74.825,70.06,70.9865,47330660.0
2024-10-06,70.89,74.57,69.72,73.35,40627940.0
2024-10-13,73.01,74.51,71.48,73.93,35412424.0
2024-10-20,74.0,84.75,74.0,79.9,64226529.0
2024-10-27,80.3,83.95,78.5004,81.5509,32879004.0
2024-11-03,82.47,87.28,79.05,85.6,44810363.0
2024-11-10,84.76,95.09,83.11,93.77,43145213.0
2024-11-17,94.48,94.48,87.48,88.1996,37645490.0
2024-11-24,89.11,94.78,87.36,92.6648,30221002.0
2024-12-01,93.0,95.55,88.01,92.99,35076910.0
2024-12-08,92.34,119.88,92.27,113.1998,126297737.0
2024-12-15,114.09,121.86,105.0,120.85,80544660.0
2024-12-22,122.51,126.54,103.8,112.77,98139543.0
2024-12-29,113.94,117.7,111.3165,113.64,22607451.0
2025-01-05,113.55,118.75,109.44,118.75,25347247.0
2025-01-12,119.66,124.5,113.56,114.3243,36507191.0
2025-01-19,112.85,125.55,110.5,125.55,47253437.0
2025-01-26,126.5,127.82,121.73,124.0,34431926.0
2025-02-02,116.96,124.33,99.52,112.45,93927197.0
2025-02-09,107.01,125.0,105.6859,110.45,63893483.0
2025-02-16,111.69,113.5389,100.22,106.44,49998839.0
2025-02-23,107.01,112.5,102.36,103.6,34496242.0
2025-03-02,104.54,104.88,86.0,92.12,85849940.0
2025-03-09,92.38,93.9725,67.28,70.7027,163612788.0
2025-03-16,69.44,71.58,63.65,68.84,93975313.0
2025-03-23,68.34,71.3699,67.76,70.3014,49418176.0
2025-03-30,71.59,73.23,61.25,61.6484,63116686.0
