datetime,open,high,low,close,volume
2024-08-04,419.96,427.46,404.34,406.741,49533055.0
2024-08-11,389.8,410.08,368.95,406.7,99189248.0
2024-08-18,407.9,423.08,404.2434,417.75,66975302.0
2024-08-25,418.01,426.7899,412.09,416.84,64527636.0
2024-09-01,417.17,422.05,405.57,417.2,57225107.0
2024-09-08,418.0,419.88,400.0,400.07,52809828.0
2024-09-15,404.58,431.83,402.15,430.19,66376242.0
2024-09-22,431.35,442.47,428.22,436.028,84227107.0
2024-09-29,436.56,437.46,426.1,427.3797,52973962.0
2024-10-06,428.0,430.42,414.29,415.86,62972387.0
2024-10-13,415.8,420.38,405.5,415.76,65132634.0
2024-10-20,416.34,424.04,410.48,418.2,62059587.0
2024-10-27,417.5,432.52,413.7501,427.5,68553636.0
2024-11-03,430.7,444.95,406.3,410.3,112927104.0
2024-11-10,411.91,427.0,405.5713,422.35,74637565.0
2024-11-17,423.04,429.325,413.64,414.9999,90225514.0
2024-11-24,416.7,420.8,410.2887,417.0,67933252.0
2024-12-01,418.51,425.29,414.85,423.1,32442705.0
2024-12-08,422.61,446.1,420.87,443.0002,76660710.0
2024-12-15,442.95,456.1648,440.5,447.24,68517798.0
2024-12-22,447.27,455.5,428.63,437.3476,88665294.0
2024-12-29,437.64,440.94,426.35,430.59,38990112.0
2025-01-05,430.7,430.7,414.85,424.5,43909432.0
2025-01-12,427.15,434.32,415.02,419.45,52466722.0
2025-01-19,417.0,434.87,410.72,429.5,70654112.0
2025-01-26,430.26,447.47,425.595,443.2562,61443110.0
2025-02-02,427.57,448.38,410.05,414.1,144114175.0
2025-02-09,408.0,418.65,405.1,409.6,81571523.0
2025-02-16,411.62,415.4624,404.3673,408.1,70754195.0
2025-02-23,410.33,419.31,406.5,408.0,74331953.0
2025-03-02,409.78,411.0,386.57,396.7663,98295259.0
2025-03-09,396.32,402.15,381.0,392.53,94643399.0
2025-03-16,391.74,392.0,376.77,387.99,98606941.0
2025-03-23,386.1,392.705,380.46,391.51,77263875.0
2025-03-30,394.46,396.71,376.93,377.62,66127173.0
