timestamp,open,high,low,close,volume
2024-08-04,48.69,50.7196,47.5,48.47,18909192.0
2024-08-11,48.48,48.48,45.03,47.78,29368956.0
2024-08-18,47.98,50.34,47.94,50.03,26364682.0
2024-08-25,50.2,52.395,49.84,52.08,24283276.0
2024-09-01,52.27,53.88,51.47,53.56,24953982.0
2024-09-08,53.24,53.39,50.15,50.35,24125013.0
2024-09-15,50.36,54.25,50.015,53.85,26490644.0
2024-09-22,53.92,54.93,52.27,54.4545,36745235.0
2024-09-29,54.06,56.3,53.82,54.01,38616777.0
2024-10-06,53.93,54.99,52.51,53.34,31751225.0
2024-10-13,53.1,54.6,51.8215,54.015,26012522.0
2024-10-20,54.25,57.9639,53.83,57.66,27378635.0
2024-10-27,57.7,58.88,46.76,48.62,85269778.0
2024-11-03,48.6,49.18,45.085,45.26,55632466.0
2024-11-10,45.61,46.13,43.47,45.06,48922405.0
2024-11-17,44.67,45.04,40.26,40.94,63999769.0
2024-11-24,41.04,43.98,41.02,43.54,39086128.0
2024-12-01,42.62,42.9299,41.61,41.955,31062645.0
2024-12-08,41.4,42.195,40.115,41.11,40124701.0
2024-12-15,41.71,43.0,40.19,40.26,36671727.0
2024-12-22,40.32,40.51,36.82,38.4004,51813893.0
2024-12-29,38.35,38.61,37.4637,37.87,19425376.0
2025-01-05,38.06,38.85,36.86,38.13,26440499.0
2025-01-12,38.2,40.26,37.68,39.18,26315787.0
2025-01-19,39.01,42.14,38.53,41.65,37767357.0
2025-01-26,41.71,42.85,41.05,42.08,21470111.0
2025-02-02,41.43,43.62,40.845,42.73,34856400.0
2025-02-09,42.3,45.84,41.9,44.9,39426779.0
2025-02-16,45.44,48.34,44.78,46.65,44328572.0
2025-02-23,46.73,49.95,45.15,45.3225,41459892.0
2025-03-02,45.4,46.0,41.23,42.81,50875515.0
2025-03-09,43.26,45.04,41.93,43.96,41559184.0
2025-03-16,43.95,46.83,42.03,46.3,39815656.0
2025-03-23,46.37,48.675,46.21,47.48,42748808.0
2025-03-30,47.7,49.52,46.6,48.18,38667720.0
