datetime,open,high,low,close,volume
2024-08-04,11.8,11.9516,8.46,9.6,2057763
2024-08-11,8.0,9.83,7.45,8.8,5391331
2024-08-18,8.9,9.4,6.302,8.6,10578917
2024-08-25,8.75,13.75,8.41,10.2,12398518
2024-09-01,10.21,11.575,9.75,10.2,5179502
2024-09-08,10.47,10.47,6.52,7.09,4737681
2024-09-15,7.09,16.21,6.9227,15.2715,17187109
2024-09-22,14.5,17.2,10.35,13.22,16416035
2024-09-29,13.11,17.71,12.0514,14.85,27936641
2024-10-06,14.95,20.0,13.61,19.51,20645229
2024-10-13,19.65,20.85,15.2,17.9,13480777
2024-10-20,17.94,22.85,15.16,20.36,35455772
2024-10-27,20.45,27.8,16.6,19.05,42454209
2024-11-03,19.46,23.6,18.67,18.7199,27894679
2024-11-10,18.85,24.0,16.57,23.0,18987324
2024-11-17,23.0,26.78,19.5,21.77,23833778
2024-11-24,22.5,33.82,20.88,33.33,30827636
2024-12-01,34.32,35.55,24.67,28.13,32126796
2024-12-08,28.13,29.45,24.77,26.75,21494356
2024-12-15,26.75,27.37,22.02,24.8,18532633
2024-12-22,25.0,27.35,22.3,25.57,19090419
2024-12-29,25.49,29.94,24.51,26.95,13406875
2025-01-05,26.87,27.38,23.34,26.95,11602673
2025-01-12,27.24,33.4,24.73005,25.98,21050400
2025-01-19,25.51,26.0,19.21,25.04,22042717
2025-01-26,25.04,48.05,25.04,43.6,51460802
2025-02-02,41.04,43.4299,31.55,38.84,44865191
2025-02-09,35.28,40.89,32.62,35.11,37868789
2025-02-16,35.98,37.2,30.2301,32.6,24569349
2025-02-23,32.78,35.0,28.48,29.19,12298450
2025-03-02,28.94,32.0,24.03,28.93,18775767
2025-03-09,29.44,30.86,25.44,26.8785,11064550
2025-03-16,26.0,30.56,24.43,30.2284,9954780
2025-03-23,30.2,32.28,28.23,30.2,8699168
2025-03-30,31.29,33.3,25.56,26.5,8962153
