datetime,open,high,low,close,volume
2024-08-04,50.97,51.52,45.12,45.12,3504734
2024-08-11,45.01,49.86,42.01,49.82,10952605
2024-08-18,49.82,52.97,48.7,49.52,6471891
2024-08-25,51.96,54.04,51.25,53.35,8163314
2024-09-01,53.35,66.87,52.18,63.3,17048876
2024-09-08,63.11,63.4825,59.91,60.01,7109224
2024-09-15,60.52,61.35,58.14,59.0316,7921918
2024-09-22,58.99,61.1773,57.31,60.98,8643071
2024-09-29,60.99,62.31,59.41,59.66,8180416
2024-10-06,59.45,61.16,56.17,60.9,6925476
2024-10-13,60.84,65.46,59.81,64.61,7674110
2024-10-20,65.0,65.86,63.17,63.27,5792381
2024-10-27,63.13,63.825,60.47,61.61,4677919
2024-11-03,63.36,65.4,62.03,62.55,6485870
2024-11-10,62.5,71.46,61.61,70.3,9160339
2024-11-17,69.5,73.695,68.96,69.98,7551240
2024-11-24,69.57,73.5,67.4017,73.5,8249907
2024-12-01,73.16,81.7,65.21,65.3001,22125619
2024-12-08,65.3,69.9927,64.0,67.7701,10859795
2024-12-15,67.12,70.2,61.97,65.2034,16049900
2024-12-22,66.2,68.0,62.39,66.4,10681162
2024-12-29,65.56,66.56,61.78,62.53,3005909
2025-01-05,62.52,63.0,60.42,62.68,6145026
2025-01-12,63.52,65.49,61.11,62.23,5545380
2025-01-19,61.49,67.6,60.92,65.14,8074928
2025-01-26,65.84,67.99,63.97,64.69,6710004
2025-02-02,62.89,69.98,61.99,68.765,10436497
2025-02-09,67.0,72.04,66.6346,70.53,6823437
2025-02-16,70.9499,72.18,68.3367,70.47,6235541
2025-02-23,70.5252,72.5,69.33,69.5,4600515
2025-03-02,70.2,80.89,65.65,77.48,20524784
2025-03-09,77.3,79.99,67.94,70.41,16301976
2025-03-16,67.41,71.15,63.5,69.28,14866389
2025-03-23,68.74,74.12,62.0,73.28,9036109
2025-03-30,74.32,76.25,70.4,71.02,9317331
