datetime,open,high,low,close,volume
2024-08-04,34.85,35.21,29.685,29.78,406882
2024-08-11,28.36,31.74,27.69,30.87,971298
2024-08-18,31.02,33.05,30.27,32.14,644285
2024-08-25,32.42,33.98,30.935,31.81,469389
2024-09-01,31.84,31.98,30.825,31.53,389218
2024-09-08,31.01,31.01,28.41,28.55,576419
2024-09-15,28.73,29.41,27.81,29.35,514779
2024-09-22,29.06,30.445,28.48,29.8,590910
2024-09-29,30.05,32.48,29.89,31.81,424214
2024-10-06,31.62,32.25,29.71,30.5,413054
2024-10-13,30.26,31.27,29.6,31.06,285745
2024-10-20,31.12,31.595,29.35,29.76,453448
2024-10-27,29.61,29.8,28.31,28.96,426571
2024-11-03,29.23,30.2195,28.32,28.76,299216
2024-11-10,28.6,33.3,28.36,33.16,707979
2024-11-17,33.19,33.42,29.94,29.98,1018348
2024-11-24,30.15,31.26,29.43,31.11,487728
2024-12-01,31.49,31.86,30.02,31.6,528942
2024-12-08,31.88,32.3738,30.09,30.23,444616
2024-12-15,30.2,31.6,29.9,30.18,341448
2024-12-22,29.9,31.82,27.9,28.05,822433
2024-12-29,28.31,28.89,27.52,27.89,257392
2025-01-05,27.51,28.3,26.94,28.21,409112
2025-01-12,28.68,29.5,27.09,27.36,352000
2025-01-19,26.72,28.3,26.6,27.88,915960
2025-01-26,28.75,29.115,27.365,27.55,803759
2025-02-02,26.84,27.93,25.61,27.86,921628
2025-02-09,27.16,29.18,26.65,27.64,437881
2025-02-16,27.93,28.88,22.845,23.65,1140696
2025-02-23,23.65,24.8282,21.69,22.6615,1398628
2025-03-02,23.2,24.04,21.9,22.4619,1100880
2025-03-09,23.6,23.6,20.98,21.94,784092
2025-03-16,21.3,22.1,20.78,21.67,898057
2025-03-23,21.59,22.04,20.17,20.6334,1127597
2025-03-30,21.21,21.69,19.165,19.28,646624
