timestamp,open,high,low,close,volume
2024-08-04,66.0,66.17,64.07,64.63,216905
2024-08-11,60.61,61.77,57.0846,59.825,749980
2024-08-18,59.7,61.6,59.25,61.38,352649
2024-08-25,59.5127,65.04,59.5127,64.97,434741
2024-09-01,65.853,65.853,62.31,63.76,315836
2024-09-08,65.75,66.23,60.23,60.44,486546
2024-09-15,61.39,69.69,60.65,69.01,523056
2024-09-22,69.87,70.51,68.449,69.13,306565
2024-09-29,70.48,74.01,69.0,73.23,455386
2024-10-06,72.06,72.06,68.215,68.67,1537750
2024-10-13,69.88,70.09,67.5,67.67,640290
2024-10-20,66.8,67.54,62.23,63.05,871077
2024-10-27,62.31,62.62,59.98,60.035,746444
2024-11-03,62.16,62.74,59.78,60.74,726818
2024-11-10,61.99,62.8724,56.37,56.4969,825840
2024-11-17,56.5,56.79,49.37,49.72,1305727
2024-11-24,51.7,54.71,51.0218,54.25,680593
2024-12-01,54.09,54.425,50.69,51.62,607594
2024-12-08,50.71,50.71,46.04,46.615,2128135
2024-12-15,45.0,47.99,44.16,46.7,2601150
2024-12-22,46.81,46.95,44.2,45.14,1175624
2024-12-29,44.84,45.47,42.7379,43.37,623493
2025-01-05,43.35,44.6407,42.1539,44.6407,861748
2025-01-12,44.88,45.6065,43.86,44.09,653488
2025-01-19,44.0,45.33,43.65,45.04,653432
2025-01-26,44.3161,45.97,44.3161,45.61,432782
2025-02-02,44.63,46.3,43.1139,44.44,626358
2025-02-09,43.5,43.5,40.3408,40.3501,1148437
2025-02-16,40.78,43.21,39.4,40.62,894417
2025-02-23,42.7917,48.805,42.72,47.42,885278
2025-03-02,48.0,49.03,45.65,46.24,1304466
2025-03-09,45.7724,54.32,44.6,53.43,1663464
2025-03-16,51.78,54.1454,50.07,52.3413,1391638
2025-03-23,52.5,56.5,51.26,52.02,2297860
2025-03-30,52.4684,52.4684,48.3,48.76,2799974
