datetime,open,high,low,close,volume
2024-08-04,60.01,60.53,52.67,55.0,5175807
2024-08-11,50.5,56.91,48.25,56.68,10200865
2024-08-18,56.7,63.1,56.1641,62.42,8712061
2024-08-25,62.0,64.4703,60.0,61.5,7907590
2024-09-01,61.57,62.5,49.79,51.4871,24311222
2024-09-08,51.29,51.29,44.76,45.73,17823979
2024-09-15,46.11,49.415,45.96,48.9,10314091
2024-09-22,48.81,51.16,48.17,50.72,11667910
2024-09-29,50.95,52.0,49.0,49.44,12623083
2024-10-06,49.02,51.45,48.42,51.12,9069360
2024-10-13,51.2,53.74,50.77,52.7812,8394275
2024-10-20,53.64,57.43,52.425,57.1,11456835
2024-10-27,57.07,57.96,51.99,53.3001,11396351
2024-11-03,54.72,55.1591,49.9,51.12,7914084
2024-11-10,50.87,55.6,49.53,53.2,9948727
2024-11-17,52.99,53.29,45.15,48.19,18378480
2024-11-24,49.2,53.05,48.51,51.56,8816328
2024-12-01,52.06,55.06,51.43,52.99,8075234
2024-12-08,52.83,69.1,52.56,64.95,30050466
2024-12-15,65.19,65.49,60.03,63.6601,13147072
2024-12-22,64.27,66.99,60.9,64.85,15950139
2024-12-29,65.49,65.66,63.22,63.43,6034227
2025-01-05,64.1,64.33,61.1,64.12,5955802
2025-01-12,64.12,65.9641,62.3,64.73,8581577
2025-01-19,64.3,67.2273,60.62,66.42,9657801
2025-01-26,66.8,73.67,66.8,72.4,9274399
2025-02-02,69.58,70.18,61.73,67.7,12615484
2025-02-09,65.01,71.169,64.72,68.75,8280813
2025-02-16,69.79,71.3,65.6332,67.8,8198548
2025-02-23,69.0,69.3376,64.6304,65.15,6527952
2025-03-02,65.71,66.0,50.9009,52.5,20992974
2025-03-09,53.93,53.96,46.58,49.22,18146232
2025-03-16,48.54,51.85,46.51,50.91,14071804
2025-03-23,50.66,52.72,48.95,51.19,9022087
2025-03-30,51.75,53.9999,45.73,45.8,10699992
