datetime,open,high,low,close,volume
2024-08-04,280.24,280.24,240.04,240.92,3106522
2024-08-11,230.97,265.0,227.11,259.62,5222581
2024-08-18,260.84,270.67,256.38,265.89,2736346
2024-08-25,265.94,274.41,262.9,273.17,2164841
2024-09-01,273.28,276.32,266.0,275.13,1799000
2024-09-08,274.91,275.13,247.075,247.92,2655062
2024-09-15,251.03,272.7,246.9092,269.54,2684138
2024-09-22,270.65,293.8,267.401,290.89,2960028
2024-09-29,292.8,306.5,291.16,296.74,3057796
2024-10-06,296.74,306.46,292.6071,305.0,2410465
2024-10-13,301.35,312.52,301.35,309.42,2355780
2024-10-20,310.56,317.21,304.0749,314.27,2005259
2024-10-27,313.6,317.91,305.29,308.17,2331999
2024-11-03,310.72,315.88,293.26,303.5,3712614
2024-11-10,303.0,333.24,298.08,330.75,5516684
2024-11-17,332.5,336.36,320.0,323.33,3197729
2024-11-24,323.31,343.7,321.7101,341.92,3053490
2024-12-01,344.0,350.19,337.05,344.52,2455566
2024-12-08,347.0,349.99,330.01,332.47,3374281
2024-12-15,334.15,341.0,317.03,337.84,4310957
2024-12-22,337.6,343.44,317.2,328.41,4153816
2024-12-29,328.9,331.37,320.03,323.79,1252485
2025-01-05,323.06,327.21,312.07,326.52,2444662
2025-01-12,330.08,332.825,307.3975,313.48,2815649
2025-01-19,310.4,342.71,307.3,337.46,4978813
2025-01-26,338.46,365.88,338.46,358.03,4604789
2025-02-02,349.0,349.0,290.43,307.61,11272362
2025-02-09,297.0,320.41,296.97,312.24,5379767
2025-02-16,310.6,314.68,282.7201,285.45,6144247
2025-02-23,287.0,317.0,267.86,269.33,10052956
2025-03-02,270.49,278.12,253.44,259.63,11281983
2025-03-09,261.095,264.5,237.8125,246.02,8838244
2025-03-16,241.49,264.488,231.31,264.488,9676473
2025-03-23,260.35,274.11,252.41,268.5,5461553
2025-03-30,274.74,279.75,250.68,252.66,5691503
