datetime,open,high,low,close,volume
2024-08-04,129.21,131.615,115.715,117.27,5457729
2024-08-11,108.98,123.6,107.32,121.72,7492557
2024-08-18,122.65,134.2,120.49,133.12,4904237
2024-08-25,133.12,137.52,130.12,135.94,5836584
2024-09-01,135.92,138.09,127.99,133.4,4626717
2024-09-08,134.2595,134.315,119.81,121.45,5574096
2024-09-15,122.69,132.24,121.91,131.23,4810938
2024-09-22,128.0,135.97,124.59,128.95,6660621
2024-09-29,129.0,138.43,128.91,134.48,5428749
2024-10-06,133.7,134.3,127.0,130.5,5315753
2024-10-13,130.11,132.23,127.2703,131.91,3983187
2024-10-20,132.35,135.36,125.23,126.04,6818972
2024-10-27,125.5,131.0,109.53,111.8,16135493
2024-11-03,112.89,113.8,105.53,106.49,10087115
2024-11-10,107.02,112.44,103.72,110.89,7793430
2024-11-17,109.73,110.63,101.99,103.44,7765904
2024-11-24,102.5,108.25,101.78,108.21,8028656
2024-12-01,109.0,112.32,106.13,109.996,6622237
2024-12-08,111.0,119.78,109.91,119.5251,10064271
2024-12-15,118.25,124.42,116.1349,123.22,10115684
2024-12-22,124.0,133.34,122.5,126.86,12013611
2024-12-29,127.46,131.88,125.5,128.6,4205781
2025-01-05,128.55,131.39,124.67,130.6,5206911
2025-01-12,132.11,144.16,132.11,134.17,8918311
2025-01-19,133.03,141.99,129.6201,138.1441,6080304
2025-01-26,133.0,136.24,129.27,129.92,8610632
2025-02-02,128.0,128.79,100.77,115.12,19600625
2025-02-09,112.61,114.94,109.67,113.26,9025803
2025-02-16,114.81,115.06,109.4,113.5,5936681
2025-02-23,115.0,120.635,113.565,115.61,6876205
2025-03-02,115.78,116.7891,107.42,109.86,10164866
2025-03-09,110.01,111.69,102.852,108.54,10201584
2025-03-16,106.38,106.4,82.98,86.0,28729521
2025-03-23,86.22,90.86,85.36,87.4597,12559313
2025-03-30,88.6,91.73,82.46,82.76,9032462
