datetime,open,high,low,close,volume
2024-08-04,80.95,80.95,65.831,69.45,26088368.0
2024-08-11,62.0,72.4505,60.0,71.0806,52720638.0
2024-08-18,72.3,84.08,70.77,79.6676,37335820.0
2024-08-25,79.02,79.99,75.4116,78.59,24421776.0
2024-09-01,78.51,83.75,76.35,83.36,28803467.0
2024-09-08,83.32,83.55,70.99,71.5,24762700.0
2024-09-15,72.72,89.22,72.3,85.57,35565775.0
2024-09-22,85.27,95.12,83.75,94.3998,33938915.0
2024-09-29,95.78,104.38,93.19,98.1295,33907757.0
2024-10-06,97.49,105.67,95.95,105.0,24730791.0
2024-10-13,105.5,112.49,104.3967,111.9,26149968.0
2024-10-20,112.46,116.19,106.29,112.6,31411415.0
2024-10-27,112.6,116.5,100.0,111.8,45873653.0
2024-11-03,114.17,115.19,106.5,106.7,21057814.0
2024-11-10,107.77,126.0,104.58,125.99,26485199.0
2024-11-17,127.3,130.91,118.64,121.19,26664759.0
2024-11-24,123.04,145.67,119.72,140.3,45675488.0
2024-12-01,142.37,143.6,124.52,127.9,28112783.0
2024-12-08,128.41,137.06,124.05,133.62,27319548.0
2024-12-15,134.67,134.67,120.63,125.65,30749950.0
2024-12-22,126.49,127.9999,111.0,121.25,26388294.0
2024-12-29,121.68,123.37,113.48,115.0,10775575.0
2025-01-05,115.0,126.86,111.85,126.15,16407552.0
2025-01-12,128.68,135.4,122.14,128.8,23635271.0
2025-01-19,127.01,137.3,118.7,136.12,24541615.0
2025-01-26,138.0,156.25,135.55,145.63,30723771.0
2025-02-02,137.72,138.42,97.5,115.05,108997603.0
2025-02-09,109.0,124.03,105.0,121.12,36156585.0
2025-02-16,122.02,133.0,105.82,108.0,57002009.0
2025-02-23,108.02,113.37,94.57,96.2,35090364.0
2025-03-02,96.0,104.4715,84.69,95.44,71511153.0
2025-03-09,96.61,96.87,79.0,84.9443,58513439.0
2025-03-16,83.0,89.6,75.8872,87.25,46970728.0
2025-03-23,87.19,91.19,84.06,88.89,27343782.0
2025-03-30,90.45,94.2,72.49,73.83,59899007.0
