datetime,open,high,low,close,volume
2024-08-04,64.01,64.5,55.56,57.3,38094145
2024-08-11,54.88,59.92,52.0,59.65,34983899
2024-08-18,59.67,64.54,59.02,64.04,21546015
2024-08-25,63.8,65.49,63.19,64.3,15644989
2024-09-01,64.41,65.85,60.0,65.85,18890761
2024-09-08,65.61,65.61,60.0,60.77,14057667
2024-09-15,61.59,65.14,60.95,65.02,16106825
2024-09-22,64.33,66.88,63.27,66.76,17843053
2024-09-29,66.7,71.85,64.19,69.01,21967128
2024-10-06,68.65,69.56,65.815,66.35,17379175
2024-10-13,65.99,67.28,63.45,64.84,15833885
2024-10-20,64.89,69.3675,64.89,67.03,16348797
2024-10-27,67.31,75.85,65.0,69.49,37805450
2024-11-03,70.12,71.12,65.0,65.92,22765807
2024-11-10,65.87,71.23,65.105,69.61,17233976
2024-11-17,69.98,70.34,62.19,62.8,21246124
2024-11-24,63.4,66.82,62.588,66.38,16714917
2024-12-01,66.59,73.65,66.59,72.99,26337921
2024-12-08,73.0,74.11,70.19,72.12,18735644
2024-12-15,70.22,71.795,64.7,65.08,23593562
2024-12-22,65.12,67.34,58.31,61.73,30924158
2024-12-29,61.01,62.2,60.01,60.4301,10001175
2025-01-05,60.29,64.12,58.82,64.0,15891933
2025-01-12,64.61,67.465,61.285,62.7899,18130327
2025-01-19,62.25,66.34,61.0,65.06,22166815
2025-01-26,65.3,70.49,65.03,67.6,20938695
2025-02-02,67.0,67.96,60.0,65.01,45640368
2025-02-09,65.01,66.4705,63.305,64.01,19294731
2025-02-16,64.11,70.7,64.11,68.68,35229225
2025-02-23,69.45,72.27,67.77,68.666,24718242
2025-03-02,53.0,53.06,47.89,48.2057,45404693
2025-03-09,49.06,49.98,40.4144,41.65,41092015
2025-03-16,41.05,45.18,39.415,44.5,32854744
2025-03-23,44.52,45.5299,43.18,43.7155,19686622
2025-03-30,44.21,44.855,40.49,40.62,24602588
